Techno,House,Trance,Electro,Hard Trance,Tech House,Acid House,Acid,Synth-pop,Tribal House,Electro House,Italo-Disco,Italodance
Urban Kickz Recordings,Sunrec,Illusion Records,Discos CNR Chile,Eternal Sun Records,Spoiled Rotten Records,BMG Ariola Hungary,Cyclon Records,E-Wave Records,Family Affair,Do It Yourself Entertainment Strategic Marketing,GV Music,Weekendance
Digital Wasteland,MAW Records,Art-Group Music,Central Processing Unit,Spinnin' Records White Label,Paradise Distribution,Oxigen,Harthouse,E-Wave ReCords,Media Sound Studio Venice,DJ Selection,CGD,Dance Pool
Tribal Waves Recordings,"Masters At Work Productions, Inc.",Art-Group Studio,Computer Club Sheffield,Mazeman,Muna Musik,Rough Technology,Moonquake,Virgin,Island Records,Elektro Beat,Il Discotto Productions,Plastika
Berceuse Heroique,MAW Studios,Foon,Breakin' Records,Tunnel Records,Redpanda,Spice Vibes Records,Musik Edition Discoton,Virgin Records Ltd.,Edel Italia,Self Distribuzione,Studio Jonathan 67,DBX Records
Native,"MAW Records, Inc.",Disco-Press,Kudos,Tunnel Records GmbH,Synesthesia,Rough Trade Records GmbH,WMME Alsdorf,Raw Unlimited Ltd,Harlequin Recording Group,Do It Yourself Music Group S.r.l.,Graphyche Magica 2000,Dig It International
Bleep,Automatic Records,Universal Music Publishing,Frustrated Funk,Music Mail,3000°,Edition Magic Wonderland,Warner Music Manufacturing Europe,Virgin Music (Publishers) Ltd.,Colin Muzik Produksiyon,Kontor Records,Irma Records,St. Bear Studios
The Green Series,Dome Records,AGM Publishing,Zyntax Motorcity,GZ Digital Media,Kompakt,BMG Ufa,Anodyne,DADC Austria,Sheeva Records,Ministry Of Sound,Groove Factory,21st Century Records
Kontra-Musik,Time S.p.A.,Virgin,Lunatic Rec.,Edition Electro City,MPO,New Way Music,M.Z. Publishing,Epic,Epic,Kontor Records GmbH,Pozzoli,Factory Sound Studio
Skudge X,Promo Mix,EMI,Bunker Records,Edition No Turn Songs,SST GmbH,Warner/Chappell,Biosfear,CBS Dance Pool,Feel The Rhythm,Ministry Of Sound Recordings (Germany) GMBH,ZYX Music,TIME
Cannibal Society,TIME,New State,20:20 Vision,Edition Various Tunes,Crosstown Rebels,Edition Leviathan,Propulsion 285,Arista,Sony Music,Edel Distribution GmbH,Copyright Control,TIME S.r.l.
Copyright Control,Soulsupplement Records,Cream Music Ltd.,20:20 Vision Recordings,EMI,Copyright Control,Sony Music Publishing,Smitten,Ariola Eurodisc GmbH,MPO,Fly Eye,Celebrate Records GmbH,Self Distribuzione
Triple Vision Record Distribution,Chocoflash,CreamCollect,Sound 2020 Publishing,Roba Musikverlag,Gourmand Music Recordings,Mediatech GmbH,Contact,Polygram Records Operations Ltd.,Happy Music,Traxx,Beat Box,Sym Music
Linda,Spacefunk Recordings,EMI UK,Pasadena Oceanlab,Tunnel Trance Force Nights,DPK,DADC Austria,"Metropolis Mastering, Ltd",Ariola Group Of Companies,Royal Drums,Universal Music Group,Vinyl Mania,Paperino Edizioni Musicali
Audio Assault,Gum Prod,Heathmans Mastering,Record Technology Incorporated,In Lite,Italic,SRO,Ton Son Ton,"Arista Records, Inc.",Dopewax,ToCo Europe,American Disco,Lethal Records
Curve Pusher,Virgin,Progrez,XL Recordings,Dig It International S.r.l.,Circle Music,Absurd Recordings,PRT,Cronex Media Studio,Metronome,Universal Music,Electra,21st Century
Record Industry,Square Prod Studio,BMG Universal Music Publishing,Electric Music Foundation,Ala Bianca Group S.r.l.,Metroline Limited,Acid Test,Son Ton Son Music,Masterdisk,Eightball Records,Universal Music s.r.o.,Audiodisc AB,Contraseña S.L.
Cocoon Recordings,Virgin France S.A.,Bonzai Music,Curve Pusher,Garden Studio,Wordandsound,Dubplates & Mastering,P.R. Records Limited,Sonopress,Aenaria Tribal,Universal,Cutting Room,Domino Records
Wordandsound,Ultra Records,Syndrome Produktunes,Not On Label,WPM Records,I.M.L,House Nation,Dj.ungle Fever,Mohndruck Graphische Betriebe GmbH,"Virgin España, S.A.",Smilax Records,Discomagic Records,Soul Xpression
Cocoon Publishing,DMC,ID&T,Blind Allies,Goliath,Polaroid Recordings,Dance Street,Acid Test,Barclay,Kosmik Disk,Smilax Publishing,Disco Magic S.r.l.,Deep Blaze Records
Break New Soil,Back To Mine,Svenson Studio,Cool Globe Agency,Recover,R & S Records,Paraíso,Absurd Recordings,ReRe Music,Cyber Production,Just Music,"Fox Studio, Fossadello",A.C.V. Edizioni Musicali
Planet Rhythm Records,Disque Americ,ID&T Music BV,4 Sight Records,Endeavour,Traum Schallplatten,Takt,Drop Bass Network,Studio Guillaume Tell,Onizom Music,Fuzz Magazine,Maracanà Disco Dancer,Blanco Y Negro
Grammar,Purple Music,Sony Music,Vi-Sonic,Yawa Recordings,Avotre,Ten Eight Seven Mastering,Rephlex,Studio Oncle Sam,Irma Records,C8Studios,Magic DeeJay,Panic Records
Clone Distribution,Italians Do It Better,DOCdata,Cultivated Electronics LTD,A&S Productions,Noon Records,In The Dark Again,"Universal M & L, UK",Editions RereMusic,Discoin S.r.l.,Not On Label,ZYX Records,Copyright Control
AnD,EDR Records,Elevator Music,Human Shield Record Company,Be's Songs,URSL,Tribetoolz,Dope On Plastic,"PDO, France",Onizom Records,Chic Flowerz Music,AMD Record,Strenght Rec. S.r.l.
StarDelta Audio Mastering,The Pusher Distribution,TBA,Exit Planet Earth,EMI Music Publishing Germany GmbH,Baile Musik,Sole Unlimited,Ratel Music Publishing,Ariola,Kutmusic,interGROOVE,Bernhard Mikulski Schallplatten-Vertriebs-GmbH,N.T.M. Records
Vault Series,MPO,Street Parade,Riot City,Sunwater Music,Luscious Sounds,Stealth Records,Dope On Plastic Music,Oasis,No Label Recordings,Cyber Production,Elaton,N.T.M. Studio
Soma Quality Recordings,The Carvery,Echochamber,Formic Distribution,Panorama Studio,Ton liebt Klang,OITO//OITO,Exposure,Giorgio Moroder Enterprises Ltd,Festibalazo Records,Eye Industries,Mantra Vibes,Propio Records
MPO,4 Lux,TBA AG,Vinyl Moon,Yawa Studio Krefeld,Vinyl Labor,Grama Pressing,Polybius Trax,Island Music Ltd.,Plastic Fantastic,Universal Music TV,ZYX Music GMBH & Co. KG,Active Music
Modularz,Playtime Records,Adivan Switzerland,City Rockers,Yawa Recordings GmbH,Abstrakt Minded Records,Atlantic,Lamour Records,Complete Music Ltd.,NAB Tower Music,Slave Recordings,Lombardoni Edizioni Musicali,PolyGram Distribution
Construct Re-Form,Ultimate Rhythmatic Music,Zolex Records,Strange Life Records,BXR,Epsilonlab,Balkan Recordings,Reference Analogue Audio,Arista Records Ltd.,Bucks Music,Beverley Street Studios,Casablanca,"PRS, Louviers"
Music Man Records,Simonelli Music,Popular Records,Editions Mego,DJ Exclusive,Malatoid Records,Titzero,Labworks UK,Mute,Copyright Control,Creator Studios Sheffield,Polygram Dischi S.p.A.,Net's Work Records
Self Reflektion,Gomi Music,Armada,The Premises Studio (London),Robbins,Guerrilla Records,Enjoy! Records,ULR One,Mute Records Ltd.,Amato Distribution,Copyright Control,Can Can,London Records Productions
Rabe,"The Hot Box, Brooklyn",Nimra Music,Haswell Studio,Hangar London Records Inc.,Ultimate Music Distribution,The House Of Love,CBA Productions,Vital,Loaded Records,Full Force Session,Edizioni Allione,Grand Master Studio
Tonica Records,On A Mission Records,Cloud 9 Music Publishing,Dubplates & Mastering,Trance Recording Company,Aliance Music Madrid S.L.,L.I.E.S. Records,Deaths Music,Musical Moments Ltd.,Planet Blue Records,A&S Productions,Phonoster,Night And Day Studio
Perc Trax,Color Sound Studio,Armin Audio B.V.,Enfant Terrible,Hardplastic,Clipper's Madrid S.L.,Trax Records,Like Records,Minotaur Music Ltd.,Empire State Records,EMI Music Belgium,Tanga Label,EMI
Forgotten Figures,Subwx Bcn.,Armada Music B.V.,Gooiland Elektro,Discomagic Records,NRK Sound Division,Durty Truth Records,Analogic Density,Sony Music Publishing,Tribal Italia,VPI,Warner Bros.,Central Station
De:tuned,Record Industry,Water Music Dance,Record Industry,Time Tunnel - Thrilling Underworld,Freibank,Breakout,Urbanground Records,Bocu Music,Polydor,Ault_01 Studio,Regson Studio,EMI Austria GesmbH
Alaska Swimming Gear,Vocal Bizz Recordings,Oscillator,Barclay,TMV GmbH,Edition Moon Harbour,Peacefrog Records,Dance Drugstore Records,Real World Music Ltd.,Ffrreedom,Translab,Tandan Records,EMI Uden
Schnittstelle,WEA,BMLC Sound,Sound Of Barclay,P+O Pallas,Strobelight Ltd,LGN,Acid Pop,Rak Publishing Ltd.,Disctronics B,Not On Label (Mellee Fresh),Toolex Alpha,Bianco & Nero
